site_ID,COUNT,AREA,MEAN
452_652,13886.000000000000000,12497399.999999990686774,1218.819139622068860
269_437,17149.000000000000000,15434099.999999988824129,1153.494358617742364
316_250,17196.000000000000000,15476399.999999988824129,1265.684326811649953
318_239,15279.000000000000000,13751099.999999988824129,1205.593826703403010
136_569,17955.000000000000000,16159499.999999986961484,1206.037290878528438
402_267,17078.000000000000000,15370199.999999988824129,1363.419750572802286
602_532,12938.000000000000000,11644199.999999990686774,1697.976047704571556
401_545,18048.000000000000000,16243199.999999986961484,1149.531526104356089
504_103,17893.000000000000000,16103699.999999986961484,1032.282747260042470
458_98,17507.000000000000000,15756299.999999988824129,1306.741029853229975
239_590,15033.000000000000000,13529699.999999988824129,1012.903079714294108
270_217,17507.000000000000000,15756299.999999988824129,1354.125342615458976
270_232,18060.000000000000000,16253999.999999986961484,1393.170158871200101
64_388,13016.000000000000000,11714399.999999990686774,1218.265534131891627
321_8,16309.000000000000000,14678099.999999988824129,1309.458631686367198
406_546,17152.000000000000000,15436799.999999988824129,801.974038116966312
409_478,17729.000000000000000,15956099.999999988824129,1421.231889658351747
605_697,18014.000000000000000,16212599.999999986961484,1328.112289134783623
202_185,16122.000000000000000,14509799.999999988824129,1493.165709487621825
452_654,16983.000000000000000,15284699.999999988824129,1140.173172710010249
656_563,17426.000000000000000,15683399.999999988824129,1578.858252334552844
602_526,13561.000000000000000,12204899.999999990686774,1669.639235450457136
410_636,12254.000000000000000,11028599.999999992549419,1315.766061234010067
273_425,17789.000000000000000,16010099.999999986961484,1204.255104133989562
458_99,17742.000000000000000,15967799.999999988824129,1271.456918639241621
200_196,13475.000000000000000,12127499.999999990686774,1069.875584462014103
169_578,16757.000000000000000,15081299.999999988824129,1116.440857137569083
560_678,16762.000000000000000,15085799.999999988824129,1123.223840947227472
511_661,15403.000000000000000,13862699.999999988824129,1334.375216416649209
601_113,12814.000000000000000,11532599.999999990686774,1514.457196912770769
506_560,17225.000000000000000,15502499.999999988824129,2177.619147500533018
450_502,16322.000000000000000,14689799.999999988824129,1372.419239024088483
168_180,17321.000000000000000,15588899.999999988824129,1087.929684393800471
141_164,13871.000000000000000,12483899.999999990686774,894.928909102649868
608_115,12946.000000000000000,11651399.999999990686774,736.175901467476479
360_255,16647.000000000000000,14982299.999999988824129,1053.676210111158980
312_441,17690.000000000000000,15920999.999999988824129,1826.549839423017829
172_580,16454.000000000000000,14808599.999999988824129,1230.226752639499182
565_690,12348.000000000000000,11113199.999999990686774,789.215899819342440
