site_ID,Shape_Area
365_253,16346845.891512984409928
314_234,16379988.128359999507666
501_319,16379988.675445483997464
356_465,16379988.007688799872994
513_303,16379992.223933026194572
462_291,16379986.892120167613029
242_597,16379987.884301826357841
746_379,16379986.539210025221109
40_138,16379989.412233548238873
313_612,16379986.179909765720367
454_100,16379989.040630958974361
746_378,16379993.144557969644666
455_658,16379993.289204671978951
608_356,16379990.671385556459427
600_704,15583829.277461076155305
137_49,16379991.602697553113103
562_515,16379987.078486863523722
646_540,16379993.011912511661649
311_447,16379989.862835006788373
757_26,16379993.025257833302021
313_445,16379985.386446429416537
202_190,16379991.278479781001806
461_492,16379987.499510943889618
555_105,16379986.833361530676484
607_531,10854265.296723376959562
203_184,16379989.171214189380407
238_57,16369191.874000027775764
463_293,16379992.696006095036864
236_211,16379983.424178648740053
108_400,16379986.735617760568857
234_598,16379988.841608766466379
206_585,16228788.180237155407667
139_565,16379986.414856174960732
563_679,16379988.049045579507947
276_431,16379992.668884653598070
459_504,16379989.667685445398092
238_208,16379990.801530467346311
236_53,16379988.044069217517972
108_403,16379986.136705666780472
309_543,16282690.184619333595037
601_361,16379991.777255633845925
735_17,16379993.482037505134940
63_143,16379993.029015956446528
630_369,16231488.702303525060415
630_120,16244575.608079848811030
630_366,16258395.920381536707282
630_370,16304281.547831753268838
630_117,16231492.829402411356568
600_529,10114810.567254928871989
601_359,16009174.229542555287480
552_340,13799118.305984206497669
502_674,16232393.951962517574430
502_551,16232393.485897459089756
502_665,16232388.092566147446632
558_341,9241462.838528241962194
558_108,12520632.431440861895680
558_344,9674852.485627101734281
558_342,9017412.341818926855922
609_358,8033227.002099292352796
511_673,16311412.962750773876905
511_672,16289754.874019525945187
457_648,16153835.947502104565501
457_644,16312055.470689153298736
565_681,12007346.477046964690089
516_329,16176587.831244273111224
516_327,15440368.213916366919875
516_335,16176592.685695778578520
464_499,16115390.538433799520135
464_503,16115392.164436543360353
464_494,16037089.776562713086605
414_268,13178910.404874237254262
414_274,15592301.260121144354343
413_280,16195492.103529505431652
413_276,16195490.614564474672079
365_82,14969447.517350459471345
318_66,16181988.194101437926292
276_430,16253089.659899564459920
276_428,16253089.200355606153607
200_193,13697029.405602917075157
200_188,10695859.359814742580056
170_178,15231363.512350469827652
206_409,15952029.172414263710380
206_587,16290305.854982880875468
138_405,15798994.076719000935555
138_571,15648601.532303938642144
775_161,16362764.627719147130847
775_158,16351084.784520803019404
111_46,16345788.896317478269339
106_45,16360189.065505621954799
83_396,16315022.238184651359916
756_390,15916495.713536076247692
747_20,15369073.405530244112015
204_194,15176108.179050469771028
