site_ID,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
279_600,57,769.000000000000000,692100.000000000000000,1,1,0,1.000000000000000,0.000000000000000,769.000000000000000,1,1,769,5.1022000,1,769,5.1022000,1,1
553_687,58,833.000000000000000,749700.000000000000000,1,1,0,1.000000000000000,0.000000000000000,833.000000000000000,1,1,833,4.6603999,1,833,4.6603999,1,1
461_651,59,222.000000000000000,199800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,222.000000000000000,1,1,222,1.2209001,1,222,1.2209001,1,1
138_566,60,1932.000000000000000,1738800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1932.000000000000000,1,1,1932,10.6758003,1,1932,10.6758003,1,1
605_554,61,755.000000000000000,679500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,755.000000000000000,1,1,755,4.8955998,1,755,4.8955998,1,1
237_206,62,84.000000000000000,75600.000000000000000,1,1,0,1.000000000000000,0.000000000000000,84.000000000000000,1,1,84,1.1913000,1,84,1.1913000,1,1
168_174,63,1041.000000000000000,936900.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1041.000000000000000,1,1,1041,5.7554998,1,1041,5.7554998,1,1
400_637,64,849.000000000000000,764100.000000000000000,1,1,0,1.000000000000000,0.000000000000000,849.000000000000000,1,1,849,4.7631998,1,849,4.7631998,1,1
608_114,65,1002.000000000000000,901800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1002.000000000000000,1,1,1002,5.9131999,1,1002,5.9131999,1,1
734_137,66,2238.000000000000000,2014200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,2238.000000000000000,1,1,2238,12.3001003,1,2238,12.3001003,1,1
455_508,68,355.000000000000000,319500.000000000000000,1,1,0,1.000000000000000,0.000000000000000,355.000000000000000,1,1,355,1.9626000,1,355,1.9626000,1,1
408_87,69,27.000000000000000,24300.000000000000000,1,1,0,1.000000000000000,0.000000000000000,27.000000000000000,1,1,27,0.5201000,1,27,0.5201000,1,1
455_655,70,302.000000000000000,271800.000000000000000,1,1,0,1.000000000000000,0.000000000000000,302.000000000000000,1,1,302,1.8084000,1,302,1.8084000,1,1
645_562,71,558.000000000000000,502200.000000000000000,1,1,0,1.000000000000000,0.000000000000000,558.000000000000000,1,1,558,3.0634000,1,558,3.0634000,1,1
321_240,72,1176.000000000000000,1058400.000000000000000,1,1,0,1.000000000000000,0.000000000000000,1176.000000000000000,1,1,1176,6.5177999,1,1176,6.5177999,1,1
